Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
23480,-0.979,-0.093,-0.257,1.504,-0.458,0.489,0
23490,-0.976,-0.085,-0.258,1.679,-0.840,0.206,0
23500,-0.973,-0.087,-0.255,2.290,-0.924,0.489,536
23510,-0.960,-0.078,-0.253,2.969,-0.183,0.794,0
23520,-0.962,-0.077,-0.252,3.084,-0.115,1.328,0
23530,-0.958,-0.076,-0.250,3.450,0.137,1.695,0
23540,-0.974,-0.083,-0.254,3.679,0.573,2.160,0
23550,-0.978,-0.095,-0.254,4.061,0.809,2.298,559
23560,-0.973,-0.110,-0.256,3.878,1.191,1.962,0
23570,-0.976,-0.104,-0.250,3.573,1.282,2.221,0
23580,-0.965,-0.107,-0.247,3.305,1.679,2.053,0
23590,-0.976,-0.115,-0.243,2.718,1.168,2.122,0
23600,-0.972,-0.110,-0.246,2.527,1.084,1.763,573
23610,-0.971,-0.110,-0.232,1.084,0.626,1.359,0
23620,-0.983,-0.115,-0.223,0.611,0.794,1.130,0
23630,-0.965,-0.114,-0.242,0.221,-0.191,1.191,0
23640,-0.971,-0.117,-0.252,0.878,-0.344,1.450,0
23650,-0.978,-0.108,-0.254,0.649,-0.511,1.115,561
23660,-0.982,-0.098,-0.235,0.878,-0.687,0.466,0
23670,-0.982,-0.092,-0.243,0.626,-0.313,0.573,0
23680,-0.967,-0.090,-0.235,0.550,1.046,0.382,0
23690,-0.972,-0.096,-0.243,0.412,0.756,0.664,0
23700,-0.968,-0.089,-0.252,-0.053,-0.137,0.611,556
23710,-0.972,-0.100,-0.256,-0.099,-1.038,0.115,0
23720,-0.974,-0.091,-0.257,-0.023,-1.168,0.229,0
23730,-0.972,-0.094,-0.255,0.076,-1.809,-0.328,0
23740,-0.971,-0.088,-0.250,0.756,-1.954,-0.191,0
23750,-0.968,-0.085,-0.250,0.771,-2.321,-0.198,577
23760,-0.971,-0.090,-0.249,0.542,-1.618,0.305,0
23770,-0.973,-0.089,-0.250,0.832,-1.458,0.000,0
23780,-0.970,-0.092,-0.244,0.595,-0.702,0.687,0
23790,-0.973,-0.093,-0.246,0.344,-0.573,0.992,0
23800,-0.975,-0.087,-0.241,0.275,-0.916,0.969,581
23810,-0.974,-0.092,-0.244,1.237,-1.176,1.031,0
23820,-0.980,-0.095,-0.240,1.053,-1.641,0.885,0
23830,-0.981,-0.098,-0.247,1.405,-1.931,0.687,0
23840,-0.980,-0.099,-0.248,1.267,-1.809,0.427,0
23850,-0.978,-0.090,-0.257,1.534,-2.076,0.305,603
23860,-0.985,-0.096,-0.256,1.573,-1.389,0.260,0
23870,-0.979,-0.087,-0.256,1.802,-1.107,0.412,0
23880,-0.981,-0.095,-0.248,2.023,-0.870,0.557,0
23890,-0.980,-0.091,-0.249,2.443,-0.840,0.519,0
23900,-0.984,-0.086,-0.247,2.840,-0.405,0.168,622
23910,-0.973,-0.092,-0.248,3.466,-0.466,0.260,0
23920,-0.975,-0.090,-0.248,3.527,-0.130,0.061,0
23930,-0.968,-0.090,-0.247,3.092,-0.374,0.168,0
23940,-0.973,-0.091,-0.249,3.725,0.000,0.053,0
23950,-0.967,-0.088,-0.258,3.954,-0.183,0.542,616
23960,-0.970,-0.088,-0.252,4.137,0.168,0.595,0
23970,-0.966,-0.090,-0.246,3.863,0.229,0.427,0
23980,-0.968,-0.084,-0.251,3.809,0.954,0.595,0
23990,-0.975,-0.093,-0.247,4.298,1.069,0.748,0
24000,-0.971,-0.094,-0.247,3.954,1.313,0.763,635
24010,-0.972,-0.088,-0.247,4.153,1.504,0.954,0
24020,-0.972,-0.093,-0.246,4.374,1.183,0.969,0
24030,-0.973,-0.094,-0.241,4.573,0.992,1.183,0
24040,-0.980,-0.087,-0.250,4.878,0.427,0.939,0
24050,-0.980,-0.096,-0.247,4.992,0.496,0.809,671
24060,-0.978,-0.100,-0.241,4.702,0.336,0.939,0
24070,-0.971,-0.105,-0.234,4.603,0.389,0.954,0
24080,-0.974,-0.113,-0.240,4.183,0.573,1.466,0
24090,-0.980,-0.117,-0.244,3.252,0.939,1.504,0
24100,-0.981,-0.121,-0.243,2.527,1.321,1.481,713
24110,-0.983,-0.111,-0.236,1.374,1.107,1.168,0
24120,-0.981,-0.114,-0.236,1.168,0.939,1.168,0
24130,-0.973,-0.109,-0.241,0.817,-0.038,0.481,0
24140,-0.971,-0.107,-0.245,0.573,-0.382,-0.076,0
24150,-0.969,-0.103,-0.236,0.359,-0.588,-0.153,739
24160,-0.974,-0.109,-0.243,-0.115,-0.580,-0.466,0
24170,-0.971,-0.108,-0.241,-0.305,-0.771,-0.931,0
24180,-0.969,-0.111,-0.239,-1.237,-0.267,-1.008,0
24190,-0.965,-0.114,-0.227,-1.832,-0.344,-1.053,0
24200,-0.965,-0.125,-0.238,-2.435,-0.954,-1.053,769
24210,-0.971,-0.122,-0.254,-1.076,-1.634,-1.435,0
24220,-0.979,-0.126,-0.250,-0.748,-2.252,-1.702,0
24230,-0.979,-0.117,-0.245,-0.550,-3.191,-2.550,0
24240,-0.989,-0.100,-0.243,-1.298,-2.954,-3.221,0
24250,-0.976,-0.089,-0.242,-1.580,-2.237,-3.389,816
24260,-0.971,-0.087,-0.250,-1.595,-1.412,-3.427,0
24270,-0.967,-0.081,-0.256,-1.176,-1.305,-3.176,0
24280,-0.964,-0.088,-0.255,-1.435,-1.756,-2.595,0
24290,-0.968,-0.077,-0.247,-1.534,-1.748,-2.382,0
24300,-0.975,-0.089,-0.246,-0.962,-2.000,-1.740,870
24310,-0.980,-0.080,-0.244,-0.962,-2.794,-1.084,0
24320,-0.976,-0.082,-0.248,-0.855,-3.031,-1.359,0
24330,-0.980,-0.074,-0.246,-0.634,-2.969,-1.069,0
24340,-0.979,-0.079,-0.254,-0.420,-2.718,-0.672,0
24350,-0.968,-0.085,-0.251,-0.473,-2.084,-0.550,889
24360,-0.971,-0.087,-0.258,-0.145,-1.756,-0.748,0
24370,-0.973,-0.092,-0.251,0.053,-1.359,-0.710,0
24380,-0.974,-0.091,-0.249,0.176,-1.031,-0.687,0
24390,-0.973,-0.087,-0.243,0.679,-0.878,-0.931,0
24400,-0.978,-0.088,-0.239,1.046,-0.771,-0.687,902
24410,-0.973,-0.092,-0.238,1.504,-0.977,-0.534,0
24420,-0.978,-0.094,-0.241,1.496,-1.313,-0.550,0
24430,-0.983,-0.097,-0.245,2.053,-1.519,-0.527,0
24440,-0.986,-0.102,-0.245,1.802,-1.740,-0.282,0
24450,-0.973,-0.102,-0.234,1.809,-1.634,-0.115,929
24460,-0.969,-0.110,-0.225,2.542,-1.786,0.046,0
24470,-0.973,-0.110,-0.222,2.748,-2.099,0.160,0
24480,-0.975,-0.114,-0.229,3.260,-3.740,-0.084,0
24490,-0.975,-0.116,-0.241,3.214,-4.901,-0.511,0
24500,-0.971,-0.118,-0.242,3.496,-5.031,-0.237,956
24510,-0.966,-0.111,-0.240,3.557,-4.969,-0.908,0
24520,-0.965,-0.117,-0.242,3.748,-4.542,-1.137,0
24530,-0.969,-0.116,-0.238,3.901,-4.473,-0.992,0
24540,-0.974,-0.110,-0.237,3.901,-3.916,-1.061,0
24550,-0.981,-0.108,-0.247,3.634,-3.565,-0.817,989
24560,-0.986,-0.104,-0.237,3.176,-2.084,-0.382,0
24570,-0.978,-0.113,-0.232,2.985,-1.908,-0.527,0
24580,-0.981,-0.112,-0.233,3.076,-0.992,0.252,0
24590,-0.979,-0.110,-0.231,2.290,-1.069,-0.038,0
24600,-0.980,-0.109,-0.234,2.382,-1.435,-0.221,987
24610,-0.979,-0.103,-0.229,2.084,-1.634,-0.229,0
24620,-0.981,-0.103,-0.227,1.863,-2.282,-0.092,0
24630,-0.981,-0.114,-0.235,1.634,-2.351,-0.145,0
24640,-0.981,-0.111,-0.228,1.359,-2.473,0.099,0
24650,-0.974,-0.114,-0.229,0.901,-2.305,-0.145,1034
24660,-0.971,-0.119,-0.228,0.252,-2.137,-0.183,0
24670,-0.978,-0.122,-0.227,0.191,-1.756,-0.191,0
24680,-0.975,-0.121,-0.225,0.718,-1.656,-0.527,0
24690,-0.973,-0.126,-0.225,0.847,-1.351,-0.588,0
24700,-0.971,-0.125,-0.222,0.718,-1.321,-0.672,1081
24710,-0.974,-0.129,-0.221,0.649,-1.840,-0.794,0
24720,-0.971,-0.125,-0.220,0.641,-1.802,-0.832,0
24730,-0.977,-0.127,-0.219,0.649,-2.160,-0.962,0
24740,-0.981,-0.119,-0.220,0.374,-1.992,-1.573,0
24750,-0.985,-0.114,-0.218,-0.496,-1.313,-1.458,1068
24760,-0.973,-0.111,-0.221,-0.664,-1.954,-0.939,0
24770,-0.975,-0.117,-0.223,-0.450,-2.046,-1.107,0
24780,-0.981,-0.115,-0.232,0.015,-2.099,-1.092,0
24790,-0.989,-0.115,-0.233,0.603,-2.145,-1.374,0
24800,-0.996,-0.110,-0.216,0.267,-1.519,-1.641,1085
24810,-0.984,-0.113,-0.204,0.153,-1.366,-1.817,0
24820,-0.979,-0.101,-0.210,0.069,-1.366,-1.634,0
24830,-0.980,-0.103,-0.218,0.344,-2.099,-1.603,0
24840,-0.990,-0.106,-0.232,0.595,-3.275,-1.282,0
24850,-0.985,-0.105,-0.237,0.565,-3.435,-0.557,1085
24860,-0.984,-0.099,-0.234,1.534,-3.382,-0.534,0
24870,-0.981,-0.101,-0.231,1.405,-3.405,-0.282,0
24880,-0.977,-0.100,-0.231,1.969,-3.618,-0.313,0
24890,-0.983,-0.105,-0.226,1.901,-3.534,-0.038,0
24900,-0.980,-0.106,-0.234,1.656,-3.099,0.053,1091
24910,-0.972,-0.114,-0.230,1.244,-1.542,0.214,0
24920,-0.969,-0.122,-0.237,0.992,-1.160,0.176,0
24930,-0.978,-0.114,-0.231,0.718,-0.672,0.145,0
24940,-0.969,-0.115,-0.223,1.084,0.282,0.000,0
24950,-0.974,-0.122,-0.221,1.183,0.702,0.000,1095
24960,-0.978,-0.113,-0.212,1.809,0.282,0.382,0
24970,-0.977,-0.110,-0.215,1.725,0.046,0.176,0
24980,-0.983,-0.115,-0.216,2.237,-0.916,0.344,0
24990,-0.982,-0.111,-0.221,2.382,-1.008,0.412,0
25000,-0.985,-0.110,-0.222,2.573,-1.267,0.351,1051
25010,-0.989,-0.112,-0.228,2.000,-1.351,0.824,0
25020,-0.991,-0.118,-0.229,1.786,-0.855,0.985,0
25030,-0.992,-0.120,-0.226,1.924,-0.359,1.137,0
25040,-0.985,-0.125,-0.231,1.916,0.260,1.336,0
25050,-0.982,-0.121,-0.233,2.076,0.611,1.008,1083
25060,-0.977,-0.116,-0.222,1.908,1.389,1.527,0
25070,-0.974,-0.116,-0.225,1.695,1.275,1.527,0
25080,-0.976,-0.124,-0.213,1.634,1.168,1.229,0
25090,-0.975,-0.126,-0.211,1.305,0.664,1.427,0
25100,-0.976,-0.117,-0.213,1.786,0.374,1.397,1124
25110,-0.977,-0.117,-0.222,1.481,-0.603,1.550,0
25120,-0.975,-0.127,-0.223,1.298,-0.641,1.206,0
25130,-0.969,-0.128,-0.216,0.992,-0.939,1.427,0
25140,-0.979,-0.114,-0.224,0.809,-0.435,1.191,0
25150,-0.981,-0.122,-0.228,1.099,-0.290,1.160,1117
25160,-0.982,-0.119,-0.235,0.435,0.466,1.641,0
25170,-0.986,-0.118,-0.228,0.374,0.435,1.260,0
25180,-0.986,-0.119,-0.227,0.718,0.893,1.282,0
25190,-0.987,-0.112,-0.228,0.229,1.038,1.069,0
25200,-0.986,-0.111,-0.222,0.015,1.275,1.008,1126
25210,-0.979,-0.113,-0.214,-0.313,0.939,0.901,0
25220,-0.977,-0.109,-0.214,-0.115,0.359,1.206,0
25230,-0.983,-0.106,-0.216,0.260,0.076,1.237,0
25240,-0.984,-0.111,-0.214,0.290,-0.344,1.313,0
25250,-0.975,-0.106,-0.221,0.000,-0.756,1.527,1125
25260,-0.975,-0.103,-0.236,0.450,-1.267,1.176,0
25270,-0.978,-0.107,-0.229,0.885,-1.229,1.313,0
25280,-0.985,-0.103,-0.231,0.305,-1.206,1.084,0
25290,-0.984,-0.099,-0.229,0.015,-0.382,1.267,0
25300,-0.979,-0.100,-0.227,-0.565,-0.359,1.076,1118
25310,-0.976,-0.112,-0.236,0.573,-0.603,1.634,0
25320,-0.981,-0.113,-0.236,0.550,-0.099,1.443,0
25330,-0.982,-0.116,-0.243,1.290,0.023,1.031,0
25340,-0.991,-0.117,-0.228,0.626,1.267,1.084,0
25350,-0.984,-0.112,-0.216,0.565,1.550,0.748,1122
25360,-0.973,-0.113,-0.218,0.015,1.786,0.771,0
25370,-0.968,-0.114,-0.223,-0.076,1.565,0.786,0
25380,-0.969,-0.111,-0.231,-0.008,0.504,0.763,0
25390,-0.975,-0.107,-0.235,-0.198,0.473,0.954,0
25400,-0.978,-0.106,-0.229,-0.115,0.038,0.771,1118
25410,-0.983,-0.110,-0.222,0.763,-0.481,0.863,0
25420,-0.978,-0.106,-0.224,0.947,-0.511,0.771,0
25430,-0.981,-0.103,-0.231,0.847,-1.137,0.588,0
25440,-0.983,-0.112,-0.234,0.947,-0.603,0.908,0
25450,-0.977,-0.105,-0.227,0.901,-0.344,0.771,1133
25460,-0.978,-0.114,-0.233,0.519,0.588,0.794,0
25470,-0.982,-0.112,-0.228,0.496,0.809,0.687,0
25480,-0.979,-0.109,-0.229,0.099,0.962,0.847,0
25490,-0.971,-0.112,-0.231,0.366,1.351,0.656,0
25500,-0.971,-0.110,-0.228,0.481,0.794,0.603,1162
25510,-0.975,-0.109,-0.226,0.771,0.160,0.939,0
25520,-0.976,-0.108,-0.223,1.122,-0.168,0.809,0
25530,-0.981,-0.107,-0.225,1.511,-0.153,0.840,0
25540,-0.984,-0.109,-0.229,1.542,-0.076,0.863,0
25550,-0.982,-0.107,-0.226,1.534,-0.206,0.702,1162
25560,-0.982,-0.105,-0.231,1.771,-0.473,0.817,0
25570,-0.976,-0.103,-0.227,1.756,-0.527,0.809,0
25580,-0.978,-0.107,-0.236,1.328,0.038,0.855,0
25590,-0.974,-0.107,-0.239,0.519,0.321,1.145,0
25600,-0.975,-0.114,-0.234,0.183,-0.023,0.885,1146
25610,-0.978,-0.116,-0.234,-0.198,-0.450,0.763,0
25620,-0.982,-0.117,-0.230,0.176,-0.893,0.756,0
25630,-0.981,-0.116,-0.229,0.481,-0.786,1.061,0
25640,-0.979,-0.116,-0.229,1.084,-0.298,0.847,0
25650,-0.977,-0.115,-0.229,1.168,0.015,0.672,1174
25660,-0.977,-0.110,-0.234,1.496,0.099,1.046,0
25670,-0.977,-0.115,-0.230,1.008,0.282,1.115,0
25680,-0.981,-0.110,-0.228,0.992,-0.282,0.763,0
25690,-0.971,-0.112,-0.228,1.229,-0.519,1.168,0
25700,-0.971,-0.103,-0.227,1.244,-0.832,0.924,1148
25710,-0.971,-0.108,-0.230,1.153,-1.573,0.863,0
25720,-0.974,-0.106,-0.229,0.794,-1.412,0.824,0
25730,-0.982,-0.109,-0.230,0.718,-1.183,0.977,0
25740,-0.979,-0.108,-0.232,0.771,-0.802,1.206,0
25750,-0.980,-0.104,-0.228,0.664,-0.733,1.237,1120
25760,-0.981,-0.107,-0.227,0.756,-0.511,1.053,0
25770,-0.985,-0.102,-0.225,0.565,-0.092,1.168,0
25780,-0.978,-0.107,-0.227,0.962,-0.168,1.374,0
25790,-0.975,-0.105,-0.228,1.565,-0.405,1.473,0
25800,-0.977,-0.101,-0.225,1.931,-0.870,1.679,1161
25810,-0.979,-0.095,-0.228,1.176,-1.267,1.763,0
25820,-0.980,-0.096,-0.219,0.794,-1.374,1.420,0
25830,-0.979,-0.102,-0.221,0.687,-1.267,1.748,0
25840,-0.973,-0.106,-0.229,1.115,-1.885,1.947,0
25850,-0.986,-0.109,-0.239,2.069,-0.916,2.038,1185
25860,-0.993,-0.104,-0.234,2.115,-0.168,1.641,0
25870,-0.988,-0.104,-0.230,1.939,0.107,1.366,0
25880,-0.983,-0.097,-0.213,1.740,1.008,1.244,0
25890,-0.971,-0.104,-0.209,1.573,1.664,1.351,0
25900,-0.972,-0.107,-0.221,1.084,1.427,1.130,1157
25910,-0.976,-0.108,-0.232,0.832,0.847,1.389,0
25920,-0.980,-0.101,-0.236,1.084,0.588,1.389,0
25930,-0.979,-0.107,-0.231,1.137,0.702,1.344,0
25940,-0.984,-0.108,-0.228,1.336,0.336,1.229,0
25950,-0.981,-0.099,-0.228,1.985,-0.038,1.282,1129
25960,-0.983,-0.104,-0.225,2.092,-0.427,1.153,0
25970,-0.981,-0.105,-0.235,1.641,-0.603,1.160,0
25980,-0.975,-0.110,-0.234,1.641,-0.374,0.985,0
25990,-0.978,-0.104,-0.232,1.412,0.084,1.084,0
26000,-0.976,-0.110,-0.228,0.969,0.824,1.145,1124
26010,-0.973,-0.106,-0.231,0.824,1.107,1.351,0
26020,-0.974,-0.109,-0.225,1.008,1.076,1.282,0
26030,-0.974,-0.107,-0.222,0.740,1.061,1.153,0
26040,-0.974,-0.101,-0.228,1.008,0.740,1.206,0
26050,-0.978,-0.104,-0.228,1.084,1.046,1.115,1163
26060,-0.976,-0.101,-0.235,1.260,1.099,1.153,0
26070,-0.979,-0.104,-0.228,1.015,0.771,1.168,0
26080,-0.982,-0.108,-0.227,0.885,1.244,1.374,0
26090,-0.981,-0.105,-0.220,0.985,1.168,1.275,0
26100,-0.981,-0.105,-0.227,0.626,1.168,1.137,1174
26110,-0.983,-0.113,-0.229,0.450,1.282,0.901,0
26120,-0.979,-0.103,-0.224,0.099,1.046,0.794,0
26130,-0.981,-0.101,-0.230,0.160,0.626,0.885,0
26140,-0.979,-0.108,-0.225,0.252,0.504,0.763,0
26150,-0.978,-0.103,-0.220,0.298,0.275,0.664,1157
26160,-0.976,-0.106,-0.225,0.130,-0.130,0.252,0
26170,-0.979,-0.104,-0.229,0.344,-0.153,0.496,0
26180,-0.979,-0.106,-0.226,0.237,-0.221,0.000,0
26190,-0.980,-0.104,-0.235,-0.290,-0.313,0.160,0
26200,-0.981,-0.105,-0.224,0.053,-0.153,-0.313,1131
26210,-0.980,-0.106,-0.228,-0.076,0.115,-0.328,0
26220,-0.972,-0.108,-0.228,-0.023,0.061,-0.313,0
26230,-0.976,-0.109,-0.224,-0.145,-0.153,-0.321,0
26240,-0.974,-0.108,-0.230,-0.450,0.145,-0.145,0
26250,-0.979,-0.107,-0.229,-0.252,0.092,-0.313,1128
26260,-0.979,-0.113,-0.227,-0.473,0.290,-0.321,0
26270,-0.973,-0.103,-0.223,-0.038,0.511,-0.275,0
26280,-0.975,-0.102,-0.232,0.115,0.336,-0.580,0
26290,-0.979,-0.100,-0.228,0.031,0.382,-0.313,0
26300,-0.975,-0.098,-0.232,-0.061,0.275,-0.382,1157
26310,-0.974,-0.100,-0.223,0.344,-0.557,-0.244,0
26320,-0.975,-0.097,-0.231,0.542,-1.092,-0.076,0
26330,-0.979,-0.096,-0.229,0.260,-1.198,0.107,0
26340,-0.979,-0.093,-0.229,0.053,-0.924,-0.107,0
26350,-0.978,-0.095,-0.226,-0.176,-0.908,0.153,1167
26360,-0.976,-0.101,-0.246,1.443,-1.145,0.389,0
26370,-0.983,-0.104,-0.246,1.427,-0.359,0.267,0
26380,-0.983,-0.095,-0.241,1.672,-0.405,-0.008,0
26390,-0.984,-0.103,-0.228,1.397,0.412,0.053,0
26400,-0.971,-0.101,-0.218,1.000,0.809,-0.092,1135
26410,-0.972,-0.099,-0.230,0.779,0.450,0.137,0
26420,-0.968,-0.099,-0.237,0.664,0.397,0.015,0
26430,-0.973,-0.103,-0.237,1.168,-0.382,0.344,0
26440,-0.977,-0.099,-0.231,1.206,-0.298,0.137,0
26450,-0.979,-0.098,-0.226,1.656,-0.160,0.557,1120
26460,-0.981,-0.095,-0.229,2.198,-0.489,0.046,0
26470,-0.983,-0.093,-0.230,2.145,-0.672,0.252,0
26480,-0.982,-0.101,-0.228,2.237,-0.756,-0.137,0
26490,-0.973,-0.098,-0.227,2.565,-0.870,-0.069,0
26500,-0.974,-0.101,-0.236,2.069,-0.725,-0.092,1144
26510,-0.975,-0.103,-0.234,1.969,-0.145,-0.198,0
26520,-0.977,-0.107,-0.231,1.229,-0.053,0.046,0
26530,-0.975,-0.108,-0.231,1.550,0.481,0.137,0
26540,-0.976,-0.106,-0.237,1.427,0.176,-0.137,0
26550,-0.976,-0.104,-0.230,1.412,0.420,0.267,1170
26560,-0.983,-0.105,-0.231,1.298,0.427,-0.099,0
26570,-0.981,-0.102,-0.232,1.458,0.443,-0.145,0
26580,-0.988,-0.104,-0.233,1.252,0.534,-0.382,0
26590,-0.980,-0.106,-0.226,1.145,0.779,-0.344,0
26600,-0.979,-0.106,-0.227,1.366,0.847,-0.061,1176
26610,-0.972,-0.108,-0.224,1.275,1.015,-0.611,0
26620,-0.970,-0.105,-0.221,1.290,0.687,-0.580,0
26630,-0.980,-0.110,-0.227,1.351,0.084,-0.359,0
26640,-0.978,-0.102,-0.228,1.252,-0.168,-0.481,0
26650,-0.978,-0.103,-0.233,1.252,0.084,-0.321,1157
26660,-0.978,-0.101,-0.229,1.046,-0.076,0.023,0
26670,-0.980,-0.100,-0.224,1.374,-0.244,-0.076,0
26680,-0.975,-0.103,-0.223,1.153,-0.122,-0.198,0
26690,-0.977,-0.107,-0.221,1.282,-0.489,-0.435,0
26700,-0.976,-0.112,-0.233,1.061,-0.191,-0.237,1169
26710,-0.974,-0.112,-0.231,0.885,-0.557,-0.733,0
26720,-0.977,-0.113,-0.231,0.840,-0.710,-0.305,0
26730,-0.982,-0.109,-0.239,0.649,-0.870,-0.473,0
26740,-0.988,-0.107,-0.231,0.176,-0.489,-0.237,0
26750,-0.989,-0.107,-0.231,0.305,-0.290,-0.420,1210
26760,-0.980,-0.106,-0.227,0.412,0.015,-0.275,0
26770,-0.982,-0.110,-0.235,0.397,0.092,-0.603,0
26780,-0.988,-0.104,-0.237,0.450,0.374,-0.260,0
26790,-0.987,-0.102,-0.232,0.466,0.588,-0.672,0
26800,-0.987,-0.104,-0.229,0.198,0.321,-0.504,1193
26810,-0.976,-0.106,-0.221,0.916,0.053,0.099,0
26820,-0.977,-0.101,-0.228,1.153,-0.267,-0.099,0
26830,-0.975,-0.105,-0.233,1.374,-0.687,-0.252,0
26840,-0.977,-0.101,-0.238,0.519,-0.534,-0.588,0
26850,-0.972,-0.102,-0.221,-0.061,-0.710,-0.359,1139
26860,-0.974,-0.110,-0.231,0.870,-1.214,0.107,0
26870,-0.978,-0.104,-0.233,0.718,-0.580,0.313,0
26880,-0.985,-0.110,-0.234,0.901,-0.397,-0.031,0
26890,-0.980,-0.110,-0.224,0.878,-0.313,-0.023,0
26900,-0.983,-0.103,-0.223,0.221,-0.015,-0.221,1042
26910,-0.972,-0.109,-0.222,0.427,0.214,-0.122,0
26920,-0.974,-0.106,-0.223,0.336,0.305,-0.092,0
26930,-0.978,-0.112,-0.234,0.198,-0.160,0.061,0
26940,-0.983,-0.106,-0.231,0.084,-0.244,-0.260,0
26950,-0.992,-0.101,-0.229,-0.130,-0.267,0.008,899
26960,-0.985,-0.108,-0.231,0.573,-0.527,-0.191,0
26970,-0.986,-0.106,-0.226,0.672,-0.397,-0.061,0
26980,-0.982,-0.105,-0.224,0.885,-0.214,-0.076,0
26990,-0.977,-0.106,-0.223,0.145,-0.237,0.099,0
27000,-0.970,-0.107,-0.230,-0.092,-0.099,0.336,788
27010,-0.972,-0.107,-0.227,-0.802,0.313,0.450,0
27020,-0.972,-0.114,-0.236,-0.504,0.191,0.298,0
27030,-0.972,-0.116,-0.231,-1.092,0.221,0.557,0
27040,-0.978,-0.117,-0.230,-0.733,0.702,0.115,0
27050,-0.980,-0.108,-0.232,-0.740,0.573,0.023,717
27060,-0.982,-0.115,-0.229,-0.763,0.763,0.069,0
27070,-0.982,-0.109,-0.228,-0.771,1.061,-0.351,0
27080,-0.983,-0.104,-0.237,-0.160,0.954,0.076,0
27090,-0.983,-0.104,-0.227,-0.313,1.046,-0.130,0
27100,-0.975,-0.108,-0.247,-0.382,0.802,0.176,655
27110,-0.976,-0.108,-0.234,-0.603,0.573,0.115,0
27120,-0.974,-0.112,-0.238,-0.695,0.542,0.298,0
27130,-0.981,-0.109,-0.230,-0.962,0.344,-0.015,0
27140,-0.978,-0.102,-0.232,-1.015,0.496,0.237,0
27150,-0.972,-0.109,-0.229,-0.802,0.282,0.366,599
27160,-0.973,-0.108,-0.224,-0.427,0.214,0.252,0
27170,-0.966,-0.107,-0.229,-0.489,0.160,0.107,0
27180,-0.966,-0.104,-0.228,-0.336,-0.313,0.122,0
27190,-0.973,-0.109,-0.231,-0.229,-1.443,-0.145,0
27200,-0.968,-0.108,-0.231,0.115,-2.000,0.115,529
27210,-0.979,-0.107,-0.235,0.061,-2.137,-0.023,0
27220,-0.977,-0.107,-0.232,0.229,-1.939,-0.260,0
27230,-0.979,-0.110,-0.235,0.107,-2.099,-0.145,0
27240,-0.976,-0.098,-0.237,0.015,-1.275,-0.122,0
27250,-0.982,-0.106,-0.233,-0.176,-0.748,-0.099,495
27260,-0.980,-0.100,-0.241,-0.519,0.229,0.229,0
27270,-0.982,-0.105,-0.245,-0.687,0.542,-0.008,0
27280,-0.978,-0.109,-0.240,-0.672,1.313,0.038,0
27290,-0.972,-0.110,-0.235,-1.038,1.458,-0.053,0
27300,-0.975,-0.115,-0.234,-0.672,1.031,-0.130,464
27310,-0.981,-0.105,-0.240,0.206,0.687,-0.221,0
27320,-0.975,-0.100,-0.239,0.084,0.382,-0.313,0
27330,-0.973,-0.104,-0.226,-0.405,-0.183,-0.198,0
27340,-0.975,-0.101,-0.215,-1.015,0.053,-0.130,0
27350,-0.977,-0.105,-0.239,-0.809,-0.672,0.122,412
27360,-0.977,-0.117,-0.238,1.046,0.107,0.267,0
27370,-0.976,-0.116,-0.245,1.534,0.038,0.130,0
27380,-0.979,-0.106,-0.229,0.885,0.290,0.015,0
27390,-0.967,-0.107,-0.217,0.672,0.397,-0.420,0
27400,-0.965,-0.107,-0.228,0.695,0.015,-0.137,365
27410,-0.971,-0.105,-0.252,0.229,-0.603,-0.427,0
27420,-0.979,-0.115,-0.249,0.069,-0.099,-0.405,0
27430,-0.977,-0.115,-0.242,0.267,0.496,-0.321,0
27440,-0.976,-0.108,-0.226,0.618,1.153,-0.244,0
27450,-0.971,-0.112,-0.223,1.969,1.031,-0.237,326
27460,-0.968,-0.105,-0.221,1.817,-0.817,-0.038,0
27470,-0.971,-0.110,-0.216,2.000,-1.473,-0.023,0
27480,-0.964,-0.104,-0.218,2.221,-2.298,0.015,0
27490,-0.964,-0.115,-0.225,2.504,-2.534,0.099,0
27500,-0.966,-0.113,-0.227,2.344,-2.389,0.008,333
27510,-0.962,-0.101,-0.230,2.435,-1.649,-0.206,0
27520,-0.968,-0.107,-0.228,2.473,-1.443,0.176,0
27530,-0.975,-0.109,-0.228,2.214,-1.473,-0.015,0
27540,-0.971,-0.109,-0.226,2.031,-1.809,0.008,0
27550,-0.983,-0.111,-0.231,2.160,-2.160,0.107,340
27560,-0.984,-0.115,-0.232,2.527,-1.809,-0.305,0
27570,-0.980,-0.106,-0.234,2.298,-1.366,0.427,0
27580,-0.975,-0.105,-0.223,2.122,-1.221,0.290,0
27590,-0.976,-0.115,-0.226,2.420,-1.718,0.313,0
27600,-0.987,-0.110,-0.230,2.206,-1.305,0.427,334
27610,-0.980,-0.115,-0.229,1.695,-1.412,0.496,0
27620,-0.974,-0.115,-0.233,1.672,-1.435,0.137,0
27630,-0.972,-0.111,-0.223,2.130,-2.084,0.511,0
27640,-0.982,-0.112,-0.228,2.107,-2.282,0.458,0
27650,-0.974,-0.113,-0.228,2.290,-2.687,0.519,336
27660,-0.971,-0.113,-0.226,2.198,-2.542,0.290,0
