Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
970,-1.037,-0.065,-0.153,-4.328,-3.366,1.344,0
980,-1.048,-0.052,-0.148,-1.076,-2.321,2.313,0
990,-1.063,-0.052,-0.145,1.519,-0.298,3.305,0
1000,-1.062,-0.066,-0.137,3.611,2.817,4.359,859
1010,-1.035,-0.110,-0.128,6.405,6.580,5.473,0
1020,-1.026,-0.129,-0.128,7.847,7.870,5.634,0
1030,-1.016,-0.149,-0.134,9.237,9.534,5.542,0
1040,-1.020,-0.151,-0.136,10.634,11.718,5.496,0
1050,-1.013,-0.156,-0.138,11.328,13.176,5.115,890
1060,-1.002,-0.150,-0.140,13.405,14.763,3.336,0
1070,-0.992,-0.144,-0.129,14.718,15.443,3.153,0
1080,-0.981,-0.130,-0.127,14.771,15.832,2.275,0
1090,-0.980,-0.132,-0.141,14.099,15.748,2.092,0
1100,-0.968,-0.141,-0.157,14.168,15.580,2.137,896
1110,-0.968,-0.148,-0.179,14.023,15.183,1.191,0
1120,-0.965,-0.141,-0.182,13.473,15.053,1.061,0
1130,-0.961,-0.139,-0.185,12.244,14.305,0.771,0
1140,-0.968,-0.126,-0.178,9.885,14.061,0.664,0
1150,-0.967,-0.128,-0.181,7.496,14.275,0.611,877
1160,-0.958,-0.140,-0.201,4.756,13.603,0.473,0
1170,-0.955,-0.128,-0.203,3.916,13.107,0.305,0
1180,-0.948,-0.128,-0.213,1.855,11.321,0.092,0
1190,-0.943,-0.117,-0.226,0.092,9.435,-0.275,0
1200,-0.952,-0.103,-0.235,0.008,8.313,-0.061,880
1210,-0.963,-0.097,-0.254,-0.763,6.603,-0.092,0
1220,-0.968,-0.087,-0.254,-1.130,6.275,0.092,0
1230,-0.972,-0.091,-0.252,-1.420,6.160,0.603,0
1240,-0.964,-0.090,-0.256,-2.023,6.031,0.916,0
1250,-0.965,-0.089,-0.256,-2.740,5.947,1.313,883
1260,-0.966,-0.094,-0.240,-3.038,5.527,1.618,0
1270,-0.970,-0.094,-0.248,-3.038,5.328,1.878,0
1280,-0.967,-0.103,-0.239,-3.130,5.229,1.840,0
1290,-0.975,-0.107,-0.240,-3.099,4.038,1.893,0
1300,-0.968,-0.110,-0.243,-3.122,3.244,1.649,974
1310,-0.969,-0.113,-0.247,-2.985,2.618,1.443,0
1320,-0.976,-0.112,-0.251,-2.786,2.366,1.313,0
1330,-0.974,-0.109,-0.250,-1.924,1.824,0.947,0
